id,title_standard,title_alternatives,category,approximate_date,date_confidence,surviving_languages,manuscript_witnesses,primary_community_or_tradition,key_content_summary,evidence_of_historical_popularity_or_use,reasons_excluded_or_marginalized,relationship_to_canonical_texts,modern_editions_translations_digital_access,scholarly_notes,sources_count
DC-003,Greek Esther Additions,,deuterocanonical-apocrypha,2nd–1st c. BCE; medium,medium,Greek,LXX/Vulgate transmission; liturgical use,Hellenistic Jewish; Christian OT,"Adds prayers, dreams, divine references to Hebrew Esther",LXX/Vulgate transmission; liturgical use,Additions not in Hebrew rabbinic text; RC/EO canonical in expanded Esther,Theologizes canonical Esther,NETS; NRSV Apocrypha,Shows Greek Jewish discomfort with secular tone of Hebrew Esther,2
DC-004,Wisdom of Solomon,,deuterocanonical-apocrypha,late 1st c. BCE–early 1st c. CE; medium-high,high,Greek,"LXX, patristic citation; Christian liturgical use",Alexandrian Jewish,"Immortality, personified Wisdom, critique of idolatry, Exodus retelling","LXX, patristic citation; Christian liturgical use",Greek composition; excluded from Tanakh/Prot OT; RC/EO canonical,"Develops Proverbs/Wisdom, Exodus; influences Christian language about Logos/Wisdom",NETS; NRSV; critical editions,Key for Hellenistic Jewish theology of immortality and Wisdom,2
DC-005,Sirach,Ecclesiasticus; Ben Sira,deuterocanonical-apocrypha,c. 200–175 BCE Hebrew; Greek trans. c. 132 BCE; high,high,Hebrew fragments incl. Genizah/Qumran/Masada; Greek; Syriac,Extensive Hebrew fragments; cited in rabbinic literature; church use,Jerusalem wisdom school; synagogue/church use,"Ethical instruction, praise of ancestors, Torah wisdom, social order",Extensive Hebrew fragments; cited in rabbinic literature; church use,Not Tanakh though respected; RC/EO canonical; Prot apocrypha,Closest to Proverbs; praises biblical ancestors,Pancratius Beentjes Hebrew; NETS; NRSV,Major witness to pre-rabbinic wisdom and canon consciousness,2
DC-006,Baruch and Letter of Jeremiah,,deuterocanonical-apocrypha,2nd–1st c. BCE; medium,medium,Greek; possibly Hebrew/Aramaic Vorlage debated,LXX/Vulgate; church use,Hellenistic Jewish; Christian,"Confession, wisdom poem, consolation of Jerusalem; anti-idol satire",LXX/Vulgate; church use,Pseudonymous Jeremiah tradition; excluded from Tanakh/Prot OT; RC/EO canonical with variations,"Extends Jeremiah, Deuteronomy, Isaiah",NETS; NRSV,Shows diasporic repentance and anti-idol polemic,2
DC-007,Additions to Daniel: Prayer of Azariah,"Song of Three, Susanna, Bel and Dragon",deuterocanonical-apocrypha,2nd–1st c. BCE; medium,medium,Greek; Semitic originals debated,LXX/Theodotion; church liturgy,Hellenistic Jewish; Christian,Prayer and hymn in furnace; Susanna vindicated; Daniel exposes idols/dragon,LXX/Theodotion; church liturgy,Not in Hebrew/Aramaic Daniel; RC/EO canonical,Expands Daniel court-tale theology,NETS; NRSV,Important for liturgy and anti-idolatry storytelling,2
DC-008,1 Maccabees,,deuterocanonical-apocrypha,late 2nd c. BCE; high-ish,high,Hebrew original lost; Greek surviving,LXX/church transmission; historical use,Hasmonean Judean history,Revolt against Seleucids; Hasmonean rule; temple rededication,LXX/church transmission; historical use,Hasmonean politics; excluded Tanakh/Prot OT; RC/EO canonical,Continues biblical historiography; basis for Hanukkah history,NETS; NRSV,Primary historical source for Maccabean revolt,2
DC-009,2 Maccabees,,deuterocanonical-apocrypha,c. 124–63 BCE; high-ish,high,Greek,LXX/church use; influential martyr stories,Diaspora Jewish epitome of Jason of Cyrene,"Temple, martyrdom, resurrection, prayers for dead",LXX/church use; influential martyr stories,Excluded Tanakh/Prot OT; RC/EO canonical,Theological historiography; martyrdom influences Christian thought,NETS; NRSV,"Key for resurrection, martyrdom, intercession for dead",2
DC-010,3 Maccabees,,deuterocanonical-apocrypha,1st c. BCE–1st c. CE; medium,medium,Greek,Orthodox canons/manuscripts,Alexandrian Jewish,Ptolemy IV persecutes Egyptian Jews; miraculous deliverance,Orthodox canons/manuscripts,Limited geography; not RC/Prot/Tanakh; EO often included,Exodus/Esther-like deliverance narrative,NETS; NRSV Apocrypha in some editions,Diaspora persecution and divine deliverance,2
DC-011,4 Maccabees,,deuterocanonical-apocrypha,1st c. CE; medium-high,high,Greek,Church manuscripts; Orthodox appendix use,Hellenistic Jewish philosophical martyrdom,Reason mastering passions; Maccabean martyrs as exemplars,Church manuscripts; Orthodox appendix use,"Philosophical homily, not broad canon",Reuses 2 Maccabees martyr stories with Stoic ethics,NETS; NRSV Apocrypha,Bridges Jewish martyrdom and Greco-Roman moral philosophy,2
DC-012,1 Esdras,Greek Ezra; 3 Ezra,deuterocanonical-apocrypha,2nd–1st c. BCE; medium,medium,Greek,LXX; Orthodox and Vulgate appendix traditions,Hellenistic Jewish; Christian,Reorders Ezra-Nehemiah/Chronicles; includes debate of three guards,LXX; Orthodox and Vulgate appendix traditions,Duplicate/variant Ezra tradition; not Tanakh/Prot core,Alternative form of Ezra-Nehemiah,NETS; NRSV,Textual witness to fluid Ezra traditions,2
DC-013,2 Esdras,4 Ezra + Christian additions,deuterocanonical-apocrypha,Jewish apocalypse c. 90–100 CE; Christian additions later; medium,medium,"Latin, Syriac, Ethiopic, Armenian; Greek lost",Wide Christian versional transmission,Jewish apocalyptic; Christian transmission,"Ezra questions God after Jerusalem’s fall; visions of eagle, man from sea; final revelation",Wide Christian versional transmission,Post-70 apocalypse; excluded from most canons; Slavonic/Ethiopic/appendix status varies,"Closely parallels Daniel, Revelation themes",Stone; NRSV Apocrypha,Central post-destruction Jewish theodicy,2
DC-014,Prayer of Manasseh,,deuterocanonical-apocrypha,2nd c. BCE–1st c. CE? low-medium,low-medium,Greek; Syriac; Latin,Manuscripts; Orthodox liturgy; Vulgate appendix,Jewish penitential prayer; Christian liturgical,King Manasseh repents; divine mercy,Manuscripts; Orthodox liturgy; Vulgate appendix,"Short liturgical expansion, limited canon status",Expands 2 Chronicles 33,NETS; NRSV,Influential penitential theology,2
DC-015,Psalm 151 and Syriac Psalms 152–155,,deuterocanonical-apocrypha,2nd Temple origins for 151; medium,medium,Hebrew at Qumran for 151; Greek/Syriac,Qumran and LXX for 151; Syriac transmission,Jewish psalmic expansion; Orthodox/Ethiopic,Davidic autobiographical psalm; extra psalms vary,Qumran and LXX for 151; Syriac transmission,Outside Masoretic Psalter; 151 in EO canon,Expands David traditions,DSS editions; NETS,Shows Psalter boundaries remained fluid,2
DSS-001,Community Rule,Serekh ha-Yahad; 1QS,dead-sea-scrolls-qumran,c. 150–50 BCE composition/copies; medium-high,high,Hebrew,Multiple copies at Qumran; central sectarian rule text,Qumran/sectarian Yahad,"Admission rules, communal discipline, dualistic theology of spirits, purity, leadership",Multiple copies at Qumran; central sectarian rule text,"Sectarian rulebook tied to a specific separatist community, not broader canon","Uses Torah, prophets, covenant language; parallels later communal monastic rules",DSS Study Edition; DJD; Leon Levy,"Shows lived theology: predestination, dualism, purity, communal authority",2
DSS-002,Damascus Document,CD; Zadokite Fragments,dead-sea-scrolls-qumran,c. 2nd–1st c. BCE; copies at Qumran and medieval Cairo Genizah,medium,Hebrew,Qumran copies plus Cairo Genizah medieval copies prove long transmission,Qumran-related/Zadokite sect,"History of sect, covenant renewal, legal interpretation, admonitions",Qumran copies plus Cairo Genizah medieval copies prove long transmission,Sectarian halakhah and polemic; not accepted by rabbinic mainstream,"Reinterprets Torah, prophetic judgment, wilderness covenant",Schechter fragments; DJD; DSS Study Edition,Major bridge between Qumran and Genizah; shows alternative Jewish law,2
DSS-003,War Scroll,War of Sons of Light against Sons of Darkness; 1QM,dead-sea-scrolls-qumran,c. 1st c. BCE; medium-high,high,Hebrew,Multiple fragments; prominent complete-ish scroll,Qumran apocalyptic-military,"Eschatological war, angelic hosts, priestly trumpets, battle liturgy",Multiple fragments; prominent complete-ish scroll,Apocalyptic sectarian militarism; failed historical horizon,Expands Danielic/apocalyptic war motifs; uses priestly liturgy,DSS Study Edition; DJD,Key evidence for angelic-war cosmology,2
DSS-004,Thanksgiving Hymns,Hodayot; 1QHa,dead-sea-scrolls-qumran,c. 2nd–1st c. BCE; medium,medium,Hebrew,Large manuscript plus fragments; likely communal/liturgical use,Qumran liturgical/sectarian,"First-person hymns of election, suffering, knowledge, divine grace",Large manuscript plus fragments; likely communal/liturgical use,"Sectarian hymnic corpus, not broadly canonical","Echoes Psalms, prophets, wisdom; distinctive Teacher-like voice",DSS Study Edition; DJD,Shows devotional theology outside Psalter,2
DSS-005,Pesher Habakkuk,1QpHab,dead-sea-scrolls-qumran,c. late 1st c. BCE; high for copy,high,Hebrew,Substantial scroll; model for pesharim,Qumran interpretive school,Line-by-line interpretation of Habakkuk as fulfilled in community history; Teacher of Righteousness vs Wicked Priest,Substantial scroll; model for pesharim,"Commentary, local sectarian exegesis, not scripture itself",Treats Habakkuk as prophecy of contemporary events,DSS Study Edition; Leon Levy,Crucial for how ancient groups read scripture as directly predictive,2
DSS-006,Temple Scroll,11QTemple,dead-sea-scrolls-qumran,c. 2nd–1st c. BCE; medium,medium,Hebrew,Longest DSS; multiple copies/fragments,Qumran / broader priestly legal tradition,"Rewritten Torah in divine first-person; ideal temple, festivals, purity, king law",Longest DSS; multiple copies/fragments,Alternative Torah/temple law displaced by rabbinic and Christian canons,Rewrites Exodus–Deuteronomy; sometimes presents itself with Torah-like authority,Yadin; DJD; DSS Study Edition,One of the strongest examples of “new Torah” authority outside canon,2
DSS-007,Genesis Apocryphon,Tales of the Patriarchs; 1QapGen,dead-sea-scrolls-qumran,c. 2nd–1st c. BCE copy; composition perhaps earlier,medium,Aramaic,Major Aramaic scroll; related to Enoch/Jubilees tradition,Jewish rewritten Bible,"Expands Genesis stories of Lamech, Noah, Abraham, Sarah, Pharaoh",Major Aramaic scroll; related to Enoch/Jubilees tradition,"Rewritten narrative, not accepted as scripture in rabbinic canon",Expands Genesis with legendary detail,DJD; Fitzmyer; Leon Levy,Shows imaginative patriarchal expansion and Aramaic scriptural storytelling,2
DSS-008,4QMMT,Some Works of the Law,dead-sea-scrolls-qumran,c. late 2nd–1st c. BCE; medium,medium,Hebrew,Several fragmentary copies,Qumran halakhic polemic,"Legal rulings on purity, calendar, temple practice; appeal to separate from opponents",Several fragmentary copies,Sectarian legal letter; not suitable as broad canon,Interprets Torah; illuminates “works of the law” debates,DJD; Qimron-Strugnell,Important for Second Temple legal diversity and Pauline-background debates,2
DSS-009,Songs of the Sabbath Sacrifice,Angelic Liturgy,dead-sea-scrolls-qumran,c. 2nd–1st c. BCE; medium,medium,Hebrew,Copies at Qumran and Masada imply wider use,Qumran and Masada; priestly mystical/liturgical,Thirteen sabbath songs describing heavenly temple worship and angelic priesthood,Copies at Qumran and Masada imply wider use,Esoteric liturgy; not later biblical canon,Develops Ezekiel/Isaiah temple-throne imagery,DJD; Newsom,Major precursor for Jewish mystical/heavenly liturgy traditions,2
DSS-010,Aramaic Levi Document,,dead-sea-scrolls-qumran,3rd–2nd c. BCE composition; medium,medium,"Aramaic, Greek fragments",Qumran fragments; Genizah fragments; Greek parallels,Jewish priestly wisdom/apocalyptic,"Levi’s priestly instruction, purity, sacrifice, wisdom",Qumran fragments; Genizah fragments; Greek parallels,Pseudepigraphic priestly testament; not rabbinic canon,Related to Testament of Levi and Jubilees,Greenfield-Stone-Eshel; DJD,Priesthood as heavenly wisdom; important for Levi traditions,2
DSS-011,Book of Giants,,dead-sea-scrolls-qumran,3rd–1st c. BCE; medium,medium,Aramaic; later Manichaean versions in Middle Iranian languages,Multiple Qumran fragments; Manichaean transmission across Asia,Enochic Jewish apocalyptic; later Manichaean reception,Giants born of Watchers receive dreams of judgment,Multiple Qumran fragments; Manichaean transmission across Asia,Mythic Watcher traditions marginalized in rabbinic/orthodox canons,Expands Genesis 6 and 1 Enoch Watcher myth,DJD; Reeves,Shows international afterlife of Enochic myth,2
DSS-012,New Jerusalem texts,,dead-sea-scrolls-qumran,2nd–1st c. BCE; low-medium,low-medium,Aramaic,Multiple Qumran copies,Jewish apocalyptic/visionary,Visionary measurements of eschatological city/temple,Multiple Qumran copies,"Fragmentary visionary architecture, local eschatological use",Parallels Ezekiel 40–48 and Revelation 21,DJD,Maps divine-city imagination before Revelation,2
DSS-013,Rule of the Congregation,1QSa; Messianic Rule,dead-sea-scrolls-qumran,c. 1st century BCE copy; composition probably late Second Temple; medium confidence,medium,Hebrew,1QSa / 1Q28a,Qumran/Yahad sectarian community,"Regulations for an eschatological congregation of Israel, including priestly precedence and messianic banquet imagery.","Single major Qumran witness, but attached to the Community Rule complex and thus important for sectarian organization and messianism.",Sectarian community rule and eschatological protocol rather than broadly received scripture.,"Develops Torah purity, leadership, and messianic banquet expectations; adjacent to Community Rule traditions.",DSS Study Edition; DJD; Leon Levy DSS Digital Library record where available.,Added in v0.2 as a priority Qumran rule text.,2
DSS-014,Rule of Blessings,1QSb; Blessings,dead-sea-scrolls-qumran,c. 1st century BCE copy; medium confidence,medium,Hebrew,1QSb / 1Q28b,Qumran/Yahad sectarian liturgical community,"Blessings for the faithful, priests, and a prince/messianic figure within the community’s eschatological imagination.",Single substantial Cave 1 witness associated with the Serekh manuscript complex.,Community-specific blessing/liturgy outside later Jewish and Christian canons.,Uses biblical blessing and priestly idiom; related to Numbers/Deuteronomy blessing traditions.,DSS Study Edition; DJD; Leon Levy DSS Digital Library record where available.,Added in v0.2 as companion to Community Rule material.,2
DSS-015,Copper Scroll,3Q15,dead-sea-scrolls-qumran,c. 1st century CE copy; medium-high confidence,medium-high,Hebrew,"3Q15, inscribed on copper sheets",Judaean desert / Qumran-associated deposit; exact community debated,Inventory of hidden treasures with place clues and quantities; unlike literary sectarian works.,Unique witness; historically important due to material format and treasure-list genre rather than multiple copies.,Documentary/inventory text; no evidence of canonical or liturgical reception.,"Indirectly relates to temple/treasury concerns, not a rewritten biblical text.",DJD; specialist editions; Leon Levy DSS Digital Library images/metadata where available.,Borderline for “religious text” but important as a major Qumran manuscript.,2
DSS-016,11QMelchizedek,11Q13; Melchizedek pesher,dead-sea-scrolls-qumran,c. late 2nd–1st century BCE composition/copy; medium confidence,medium,Hebrew,11Q13,Qumran apocalyptic/exegetical tradition,Interprets jubilee release and judgment texts around an exalted Melchizedek figure who proclaims liberty and judges Belial.,Single fragmentary but highly significant witness; intensive scriptural interpretation of Leviticus/Isaiah/Psalms.,Esoteric sectarian interpretation with angelic/exalted Melchizedek figure outside later canon boundaries.,"Interprets Leviticus 25, Deuteronomy 15, Isaiah 52/61, Psalms; relevant comparison to Hebrews’ Melchizedek use without assuming dependence.",DSS Study Edition; DJD; Leon Levy DSS Digital Library record where available.,High-priority v0.2 addition for messianic/apocalyptic exegesis.,2
DSS-017,Instruction,4QInstruction; Sapiential Work A; Musar le-Mevin,dead-sea-scrolls-qumran,c. late 3rd–1st century BCE; medium confidence,medium,Hebrew,Multiple 4Q manuscripts usually designated 4Q415–4Q418 and related fragments,Second Temple Jewish wisdom-apocalyptic circles; copied at Qumran,"Wisdom instruction for the understanding person, mixing practical ethics, poverty/wealth advice, and revealed cosmic mystery.",Multiple manuscript witnesses at Qumran indicate significant copying/use.,Wisdom instruction outside later biblical collections; preserved only fragmentarily in Qumran corpus.,Related to Proverbs/Sirach/Wisdom traditions and apocalyptic revelation language.,DJD; DSS Study Edition; specialist studies by Strugnell/Harrington and others.,Important for the intersection of wisdom and apocalyptic “mystery.”,2
DSS-018,Prayer of Nabonidus,4QPrNab; 4Q242,dead-sea-scrolls-qumran,2nd–1st century BCE copy; composition earlier debated; medium confidence,medium,Aramaic,4Q242,Second Temple Aramaic Jewish court/apocalyptic tradition; copied at Qumran,Babylonian king Nabonidus suffers disease and is healed after prayer and instruction by a Jewish diviner/exorcist.,Single fragmentary Qumran witness but important due to close relationship with Danielic king-madness traditions.,Fragmentary rewritten court legend; not incorporated into later Daniel canon.,"Strong thematic comparison with Daniel 4, where Nebuchadnezzar rather than Nabonidus is humbled/healed.",DJD; DSS Study Edition.,Shows fluid Daniel-adjacent court legend traditions in Aramaic.,2
DSS-019,Apocryphal Psalms,11Q5; 11QPsa; Psalms Scroll,dead-sea-scrolls-qumran,1st century CE manuscript; compositions include earlier psalmic material; high for manuscript,high,Hebrew,11Q5 / 11QPsa and related psalm manuscripts,Qumran and wider late Second Temple psalmic tradition,Psalms collection with variant order and additional compositions such as Psalm 151 and other Davidic/apocryphal psalms.,Major Cave 11 scroll; demonstrates fluidity of Psalter shape and continued psalm composition.,Some compositions remained outside the rabbinic Psalter; status varies for Psalm 151 in Christian traditions.,Directly adjacent to canonical Psalms and David traditions.,DSS Study Edition; DJD; editions of 11QPsa.,Use as a control for fluid canonical boundaries rather than a single text only.,2
DSS-020,Barkhi Nafshi,"Bless, O My Soul; 4Q434–4Q438",dead-sea-scrolls-qumran,2nd–1st century BCE copies; medium confidence,medium,Hebrew,4Q434–4Q438 and related fragments,Qumran / late Second Temple Jewish liturgical tradition,"Hymnic blessings and praise using the phrase “Bless, O my soul,” with themes of divine mercy and deliverance.",Multiple fragmentary copies at Qumran suggest repeated copying and liturgical/devotional use.,Liturgical/hymnic collection outside the later Psalter.,"Echoes Psalms, especially blessing formulas such as Psalms 103–104.",DJD; DSS Study Edition.,Added to strengthen Qumran liturgical coverage.,2
DSS-021,Pesher Nahum,4QpNah; 4Q169,dead-sea-scrolls-qumran,1st century BCE copy; medium-high confidence,medium-high,Hebrew,4Q169,Qumran interpretive school,"Sectarian commentary interpreting Nahum against contemporary opponents, often connected to Hasmonean-era conflicts.",Substantial pesher witness; part of broader Qumran commentary practice.,Local sectarian commentary tied to historical polemic.,Interprets the canonical book of Nahum as prophecy fulfilled in the community’s era.,DJD; DSS Study Edition.,Added as a pesher beyond Habakkuk.,2
DSS-022,Pesher Isaiah,4QpIsaiah; Isaiah pesharim,dead-sea-scrolls-qumran,1st century BCE–1st century CE copies; medium confidence,medium,Hebrew,"Several fragmentary Isaiah pesharim from Cave 4, commonly including 4Q161–4Q164 designations",Qumran interpretive school,"Sectarian interpretations of Isaiah passages applied to end-time events, community identity, and opponents.",Multiple fragmentary Isaiah commentary witnesses; Isaiah was especially important at Qumran.,"Exegetical application to sectarian history and eschatology, not a received scriptural book.",Depends directly on Isaiah; demonstrates Second Temple prophetic interpretation.,DJD; DSS Study Edition.,Added as part of pesharim coverage beyond Habakkuk.,2
DSS-023,Mishmarot and calendrical texts,Priestly courses texts; Calendrical documents,dead-sea-scrolls-qumran,2nd–1st century BCE copies; medium confidence,medium,Hebrew,"Multiple Qumran manuscripts, especially from Cave 4, including mishmarot/calendrical designations",Qumran priestly/legal calendar tradition,"Calendrical calculations, priestly courses, festivals, and synchronisms reflecting a structured liturgical calendar.",Multiple manuscripts show strong community investment in calendar and priestly service order.,Technical sectarian calendar materials tied to contested 364-day calendar and priestly order.,"Relates to priestly courses, festivals, Genesis/Jubilees chronology, and Torah calendar law.","DJD; DSS Study Edition; calendrical studies by Talmon, Ben-Dov, and others.",Record groups a family of related documents; item-level split is a future task.,2
DSS-024,Florilegium,4QFlorilegium; 4Q174; Eschatological Midrash,dead-sea-scrolls-qumran,1st century BCE copy; medium-high confidence,medium-high,Hebrew,4Q174,Qumran exegetical/apocalyptic tradition,"Collects and interprets passages such as 2 Samuel 7 and Psalms around temple, Davidic, and eschatological expectations.",Single but influential Qumran exegetical manuscript; often studied for messianism and scriptural interpretation.,"Interpretive anthology tied to community eschatology, not a biblical book.","Directly cites/interprets Samuel, Psalms, and other scriptural materials.",DJD; DSS Study Edition.,Added as a key thematic exegetical text.,2
DSS-COLL-001,"Dead Sea Scrolls biblical manuscripts, collection-level control record",,dead-sea-scrolls-qumran,"c. 250 BCE–68 CE manuscripts; high confidence by paleography, archaeology, radiocarbon",high,"Hebrew, Aramaic, Greek","Hundreds of biblical manuscripts; Isaiah, Psalms, Deuteronomy especially frequent",Qumran and wider Judean scribal culture,"Copies of nearly all later Tanakh books plus textual forms close to Masoretic, Septuagintal, and Samaritan traditions","Hundreds of biblical manuscripts; Isaiah, Psalms, Deuteronomy especially frequent",Not excluded as texts; included here to compare textual fluidity and Qumran’s scriptural environment,Shows pre-rabbinic pluriformity of canonical books,Leon Levy DSS Digital Library; DJD; Tov,Essential baseline: the community’s “Bible” was not identical to later fixed rabbinic form,2
NH-001,Apocryphon of John,Secret Book of John,nag-hammadi-gnostic,2nd c. CE; high,high,Coptic multiple recensions; Greek known to Irenaeus?,Four Coptic manuscripts incl. Nag Hammadi/Berlin; Irenaeus describes similar myth,Sethian Gnostic,"Risen Christ reveals divine pleroma, Sophia’s fall, ignorant demiurge, creation, salvation by knowledge",Four Coptic manuscripts incl. Nag Hammadi/Berlin; Irenaeus describes similar myth,Demiurge theology contradicted Jewish/orthodox creation doctrine; gnostic association,Rewrites Genesis creation and John-like revelation,Nag Hammadi Library; Layton; Waldstein-Wisse,Central mythic map of classic gnostic cosmology,2
NH-002,Hypostasis of the Archons,,nag-hammadi-gnostic,3rd c. CE? medium,medium,Coptic,Nag Hammadi,Sethian/gnostic,"Rulers’ origin, creation of humanity, Eve/Norea, salvation",Nag Hammadi,Anti-cosmic reinterpretation of Genesis; heterodox,Rewrites Genesis 1–6,Nag Hammadi Library,Female revealer/Norea and archon cosmology,2
NH-003,On the Origin of the World,,nag-hammadi-gnostic,3rd c. CE? medium,medium,Coptic,Nag Hammadi copies,Gnostic synthesis,"Elaborate cosmology from chaos to rulers, Adam/Eve, flood, end",Nag Hammadi copies,Mythic syncretism; noncanonical,"Rewrites Genesis, Plato-like cosmology",Nag Hammadi Library,Encyclopedic gnostic cosmology,2
NH-004,Gospel of the Egyptians,Holy Book of Great Invisible Spirit,nag-hammadi-gnostic,2nd–3rd c. CE; medium,medium,Coptic,Multiple Nag Hammadi copies,Sethian,Sethian baptismal/liturgical revelation; heavenly powers,Multiple Nag Hammadi copies,Esoteric Sethian ritual text,Uses biblical Seth/Adam motifs,Nag Hammadi Library,Key for Sethian identity and ritual,2
NH-005,Apocalypse of Adam,,nag-hammadi-gnostic,1st–2nd c. CE? debated; medium,medium,Coptic,Nag Hammadi,"Sethian, possibly Jewish gnostic roots","Adam reveals flood, persecution of illuminator, salvation of seed",Nag Hammadi,Non-mainstream revealer myth,Reworks Genesis and apocalyptic prophecy,Nag Hammadi Library,Possible non-Christian gnostic apocalypse,2
NH-006,Three Steles of Seth,,nag-hammadi-gnostic,3rd c. CE? medium,medium,Coptic,Nag Hammadi,Sethian/Platonizing,Hymnic ascent through Barbelo/Sethian triad,Nag Hammadi,Esoteric liturgy; philosophical gnosticism,Loosely biblical Seth,Layton; Nag Hammadi,Shows contemplative ascent practice,2
NH-007,Zostrianos,,nag-hammadi-gnostic,3rd c. CE; medium,medium,Coptic,Nag Hammadi; Plotinus circle may know related texts,Sethian Platonizing,Visionary ascent through aeons with baptismal seals,Nag Hammadi; Plotinus circle may know related texts,Rejected by Neoplatonists and Christians; esoteric,Minimal direct canon relation,Nag Hammadi Library; Turner,Important for interaction of gnosticism and Platonism,2
